x,cos(x)
-3.000000,-0.989994
-2.950000,-0.981703
-2.900000,-0.970959
-2.850000,-0.957788
-2.800000,-0.942223
-2.750000,-0.924303
-2.700000,-0.904072
-2.650000,-0.881582
-2.600000,-0.856889
-2.550000,-0.830054
-2.500000,-0.801144
-2.450000,-0.770230
-2.400000,-0.737393
-2.350000,-0.702713
-2.300000,-0.666276
-2.250000,-0.628174
-2.200000,-0.588501
-2.150000,-0.547358
-2.100000,-0.504846
-2.050000,-0.461073
-2.000000,-0.416147
-1.950000,-0.370181
-1.900000,-0.323290
-1.850000,-0.275590
-1.800000,-0.227202
-1.750000,-0.178246
-1.700000,-0.128844
-1.650000,-0.079121
-1.600000,-0.029200
-1.550000,0.020795
-1.500000,0.070737
-1.450000,0.120503
-1.400000,0.169967
-1.350000,0.219007
-1.300000,0.267499
-1.250000,0.315322
-1.200000,0.362358
-1.150000,0.408487
-1.100000,0.453596
-1.050000,0.497571
-1.000000,0.540302
-0.950000,0.581683
-0.900000,0.621610
-0.850000,0.659983
-0.800000,0.696706
-0.750000,0.731688
-0.700000,0.764841
-0.650000,0.796084
-0.600000,0.825336
-0.550000,0.852525
-0.500000,0.877583
-0.450000,0.900447
-0.400000,0.921061
-0.350000,0.939373
-0.300000,0.955337
-0.250000,0.968913
-0.200000,0.980067
-0.150000,0.988772
-0.100000,0.995006
-0.050000,0.998750
-0.000000,1.000000
0.050000,0.998750
0.100000,0.995004
0.150000,0.988771
0.200000,0.980066
0.250000,0.968912
0.300000,0.955336
0.350000,0.939372
0.400000,0.921060
0.450000,0.900446
0.500000,0.877581
0.550000,0.852522
0.600000,0.825336
0.650000,0.796084
0.700000,0.764842
0.750000,0.731689
0.800000,0.696707
0.850000,0.659984
0.900000,0.621611
0.950000,0.581684
1.000000,0.540303
1.050000,0.497572
1.100000,0.453598
1.150000,0.408490
1.200000,0.362361
1.250000,0.315322
1.300000,0.267499
1.350000,0.219006
1.400000,0.169967
1.450000,0.120502
1.500000,0.070737
1.550000,0.020794
1.600000,-0.029200
1.650000,-0.079122
1.700000,-0.128846
1.750000,-0.178248
1.800000,-0.227205
1.850000,-0.275594
1.900000,-0.323294
1.950000,-0.370181
2.000000,-0.416147
2.050000,-0.461072
2.100000,-0.504846
2.150000,-0.547357
2.200000,-0.588500
2.250000,-0.628173
2.300000,-0.666275
2.350000,-0.702712
2.400000,-0.737392
2.450000,-0.770229
2.500000,-0.801141
2.550000,-0.830050
2.600000,-0.856884
2.650000,-0.881582
2.700000,-0.904072
2.750000,-0.924303
2.800000,-0.942223
2.850000,-0.957788
2.900000,-0.970959
2.950000,-0.981703
3.000000,-0.989994
