x,cot(x)
-3.000000,7.015279
-2.950000,5.155397
-2.900000,4.058358
-2.850000,3.331692
-2.800000,2.812705
-2.750000,2.421771
-2.700000,2.115372
-2.650000,1.867632
-2.600000,1.662239
-2.550000,1.488392
-2.500000,1.338647
-2.450000,1.207702
-2.400000,1.091685
-2.350000,0.987686
-2.300000,0.893484
-2.250000,0.807345
-2.200000,0.727896
-2.150000,0.654031
-2.100000,0.584849
-2.050000,0.519600
-2.000000,0.457658
-1.950000,0.398490
-1.900000,0.341636
-1.850000,0.286693
-1.800000,0.233304
-1.750000,0.181147
-1.700000,0.129927
-1.650000,0.079370
-1.600000,0.029212
-1.550000,-0.020799
-1.500000,-0.070915
-1.450000,-0.121387
-1.400000,-0.172477
-1.350000,-0.224456
-1.300000,-0.277616
-1.250000,-0.332273
-1.200000,-0.388780
-1.150000,-0.447528
-1.100000,-0.508968
-1.050000,-0.573620
-1.000000,-0.642093
-0.950000,-0.715112
-0.900000,-0.793552
-0.850000,-0.878478
-0.800000,-0.971215
-0.750000,-1.073426
-0.700000,-1.187241
-0.650000,-1.315436
-0.600000,-1.461696
-0.550000,-1.631042
-0.500000,-1.830488
-0.450000,-2.070158
-0.400000,-2.365221
-0.350000,-2.739512
-0.300000,-3.232729
-0.250000,-3.916319
-0.200000,-4.933159
-0.150000,-6.616599
-0.100000,-9.966662
-0.050000,-19.983331
-0.000000,-436712666569960.100000
0.050000,19.983330
0.100000,9.966643
0.150000,6.616590
0.200000,4.933153
0.250000,3.916316
0.300000,3.232726
0.350000,2.739509
0.400000,2.365218
0.450000,2.070154
0.500000,1.830484
0.550000,1.631036
0.600000,1.461696
0.650000,1.315436
0.700000,1.187242
0.750000,1.073427
0.800000,0.971216
0.850000,0.878479
0.900000,0.793553
0.950000,0.715113
1.000000,0.642094
1.050000,0.573621
1.100000,0.508970
1.150000,0.447531
1.200000,0.388783
1.250000,0.332273
1.300000,0.277615
1.350000,0.224455
1.400000,0.172476
1.450000,0.121387
1.500000,0.070914
1.550000,0.020799
1.600000,-0.029213
1.650000,-0.079371
1.700000,-0.129929
1.750000,-0.181149
1.800000,-0.233306
1.850000,-0.286696
1.900000,-0.341640
1.950000,-0.398490
2.000000,-0.457658
2.050000,-0.519600
2.100000,-0.584849
2.150000,-0.654030
2.200000,-0.727895
2.250000,-0.807344
2.300000,-0.893483
2.350000,-0.987685
2.400000,-1.091683
2.450000,-1.207700
2.500000,-1.338642
2.550000,-1.488385
2.600000,-1.662230
2.650000,-1.867632
2.700000,-2.115373
2.750000,-2.421772
2.800000,-2.812706
2.850000,-3.331693
2.900000,-4.058360
2.950000,-5.155399
3.000000,-7.015280
