x,sec(x)
-3.000000,-1.010107
-2.950000,-1.018638
-2.900000,-1.029910
-2.850000,-1.044073
-2.800000,-1.061320
-2.750000,-1.081897
-2.700000,-1.106106
-2.650000,-1.134324
-2.600000,-1.167013
-2.550000,-1.204742
-2.500000,-1.248216
-2.450000,-1.298313
-2.400000,-1.356129
-2.350000,-1.423057
-2.300000,-1.500880
-2.250000,-1.591917
-2.200000,-1.699232
-2.150000,-1.826959
-2.100000,-1.980802
-2.050000,-2.168855
-2.000000,-2.402998
-1.950000,-2.701381
-1.900000,-3.093201
-1.850000,-3.628575
-1.800000,-4.401368
-1.750000,-5.610222
-1.700000,-7.761294
-1.650000,-12.638891
-1.600000,-34.247136
-1.550000,48.088881
-1.500000,14.136836
-1.450000,8.298564
-1.400000,5.883490
-1.350000,4.566071
-1.300000,3.738334
-1.250000,3.171357
-1.200000,2.759702
-1.150000,2.448056
-1.100000,2.204604
-1.050000,2.009763
-1.000000,1.850816
-0.950000,1.719149
-0.900000,1.608726
-0.850000,1.515191
-0.800000,1.435325
-0.750000,1.366702
-0.700000,1.307461
-0.650000,1.256149
-0.600000,1.211628
-0.550000,1.172987
-0.500000,1.139494
-0.450000,1.110559
-0.400000,1.085704
-0.350000,1.064540
-0.300000,1.046751
-0.250000,1.032084
-0.200000,1.020338
-0.150000,1.011355
-0.100000,1.005019
-0.050000,1.001251
-0.000000,1.000000
0.050000,1.001251
0.100000,1.005021
0.150000,1.011357
0.200000,1.020339
0.250000,1.032085
0.300000,1.046752
0.350000,1.064541
0.400000,1.085706
0.450000,1.110561
0.500000,1.139497
0.550000,1.172991
0.600000,1.211628
0.650000,1.256149
0.700000,1.307459
0.750000,1.366701
0.800000,1.435324
0.850000,1.515189
0.900000,1.608724
0.950000,1.719147
1.000000,1.850812
1.050000,2.009758
1.100000,2.204595
1.150000,2.448041
1.200000,2.759679
1.250000,3.171359
1.300000,3.738336
1.350000,4.566075
1.400000,5.883500
1.450000,8.298592
1.500000,14.136938
1.550000,48.090478
1.600000,-34.246075
1.650000,-12.638699
1.700000,-7.761202
1.750000,-5.610160
1.800000,-4.401319
1.850000,-3.628532
1.900000,-3.093162
1.950000,-2.701384
2.000000,-2.402999
2.050000,-2.168857
2.100000,-1.980803
2.150000,-1.826961
2.200000,-1.699234
2.250000,-1.591919
2.300000,-1.500882
2.350000,-1.423059
2.400000,-1.356131
2.450000,-1.298315
2.500000,-1.248220
2.550000,-1.204747
2.600000,-1.167019
2.650000,-1.134324
2.700000,-1.106106
2.750000,-1.081897
2.800000,-1.061320
2.850000,-1.044072
2.900000,-1.029910
2.950000,-1.018638
3.000000,-1.010107
