x,sin(x)
-3.000000,-0.141120
-2.950000,-0.190422
-2.900000,-0.239249
-2.850000,-0.287478
-2.800000,-0.334988
-2.750000,-0.381664
-2.700000,-0.427382
-2.650000,-0.472032
-2.600000,-0.515503
-2.550000,-0.557685
-2.500000,-0.598473
-2.450000,-0.637765
-2.400000,-0.675464
-2.350000,-0.711474
-2.300000,-0.745705
-2.250000,-0.778073
-2.200000,-0.808497
-2.150000,-0.836899
-2.100000,-0.863207
-2.050000,-0.887361
-2.000000,-0.909296
-1.950000,-0.928959
-1.900000,-0.946299
-1.850000,-0.961275
-1.800000,-0.973847
-1.750000,-0.983986
-1.700000,-0.991665
-1.650000,-0.996865
-1.600000,-0.999574
-1.550000,-0.999784
-1.500000,-0.997495
-1.450000,-0.992714
-1.400000,-0.985451
-1.350000,-0.975724
-1.300000,-0.963559
-1.250000,-0.948985
-1.200000,-0.932039
-1.150000,-0.912764
-1.100000,-0.891207
-1.050000,-0.867423
-1.000000,-0.841471
-0.950000,-0.813416
-0.900000,-0.783326
-0.850000,-0.751280
-0.800000,-0.717356
-0.750000,-0.681639
-0.700000,-0.644218
-0.650000,-0.605186
-0.600000,-0.564642
-0.550000,-0.522687
-0.500000,-0.479426
-0.450000,-0.434966
-0.400000,-0.389419
-0.350000,-0.342898
-0.300000,-0.295520
-0.250000,-0.247404
-0.200000,-0.198669
-0.150000,-0.149438
-0.100000,-0.099833
-0.050000,-0.049979
-0.000000,-0.000000
0.050000,0.049979
0.100000,0.099833
0.150000,0.149438
0.200000,0.198669
0.250000,0.247404
0.300000,0.295520
0.350000,0.342898
0.400000,0.389419
0.450000,0.434966
0.500000,0.479426
0.550000,0.522687
0.600000,0.564642
0.650000,0.605186
0.700000,0.644218
0.750000,0.681639
0.800000,0.717356
0.850000,0.751280
0.900000,0.783326
0.950000,0.813416
1.000000,0.841471
1.050000,0.867423
1.100000,0.891207
1.150000,0.912764
1.200000,0.932039
1.250000,0.948985
1.300000,0.963559
1.350000,0.975724
1.400000,0.985451
1.450000,0.992714
1.500000,0.997495
1.550000,0.999784
1.600000,0.999574
1.650000,0.996865
1.700000,0.991665
1.750000,0.983986
1.800000,0.973847
1.850000,0.961275
1.900000,0.946299
1.950000,0.928959
2.000000,0.909296
2.050000,0.887361
2.100000,0.863207
2.150000,0.836899
2.200000,0.808497
2.250000,0.778073
2.300000,0.745705
2.350000,0.711474
2.400000,0.675464
2.450000,0.637765
2.500000,0.598473
2.550000,0.557685
2.600000,0.515503
2.650000,0.472032
2.700000,0.427382
2.750000,0.381664
2.800000,0.334988
2.850000,0.287478
2.900000,0.239249
2.950000,0.190422
3.000000,0.141120
